mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11170916557312012,0.011404931319222005,0.002505588531494141,0.0002096607707916136,0.01,5,4,2,50,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-108.42162058258775,-81.2481260189958,-127.27362000455558,-111.75327958453852,-108.70652486711286,-107.4806342115581,14.836108212113707,67
0.2203547477722168,0.01770145102567901,0.0028376102447509764,0.00023286675457349432,0.01,5,4,2,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-100.51982872857008,-78.50458897139808,-122.17856711579952,-107.19179629868228,-102.29150950189164,-102.13725812326831,14.059483239985953,53
0.4069684028625488,0.018882072810659414,0.0038829803466796874,0.0007340161256756173,0.01,5,4,2,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-101.97905981360832,-75.783100360519,-114.5645679796927,-105.32353661178078,-97.9050961246274,-99.11107217804565,12.89402378833251,31
0.09869041442871093,0.011064857451908194,0.00285491943359375,0.00013379362405380304,0.01,5,4,4,50,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-108.42162058258775,-81.2481260189958,-127.27362000455558,-111.75327958453852,-108.70652486711286,-107.4806342115581,14.836108212113707,67
0.1838454246520996,0.00937825835603932,0.0028609752655029295,0.0002134160546118617,0.01,5,4,4,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-100.51982872857008,-78.50458897139808,-122.17856711579952,-107.19179629868228,-102.29150950189164,-102.13725812326831,14.059483239985953,53
0.3533304214477539,0.003609836277876615,0.003816843032836914,0.0002748540008205693,0.01,5,4,4,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-101.97905981360832,-75.783100360519,-114.5645679796927,-105.32353661178078,-97.9050961246274,-99.11107217804565,12.89402378833251,31
0.08651399612426758,0.0021214438384989046,0.002741575241088867,7.184466076871614e-05,0.01,5,8,2,50,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-104.80007939049955,-80.61129824300478,-130.6571450922312,-108.1190875208589,-106.53901207117215,-106.14532446355331,15.866166899471912,63
0.19999446868896484,0.03827580166596595,0.004467630386352539,0.0019041851786854604,0.01,5,8,2,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-97.33498296909791,-79.13770889290791,-124.51124498517932,-105.05686925008142,-99.14189435085916,-101.03654008962515,14.588178994418984,45
0.3848570346832275,0.005812165215873571,0.003549337387084961,0.00016929344314142543,0.01,5,8,2,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-98.09972060825072,-80.4649116203996,-116.81104588509262,-101.76955803363967,-93.80460174068658,-98.18996757761384,11.772639567163111,19
0.10990924835205078,0.027943543863721627,0.002702951431274414,0.00014406899102491859,0.01,5,8,4,50,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-104.80007939049955,-80.61129824300478,-130.6571450922312,-108.1190875208589,-106.53901207117215,-106.14532446355331,15.866166899471912,63
0.17586255073547363,0.001859225374020436,0.002948284149169922,8.119642160249012e-05,0.01,5,8,4,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-97.33498296909791,-79.13770889290791,-124.51124498517932,-105.05686925008142,-99.14189435085916,-101.03654008962515,14.588178994418984,45
0.3604306221008301,0.013437509090964162,0.0053898334503173825,0.004122863001906405,0.01,5,8,4,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-98.09972060825072,-80.4649116203996,-116.81104588509262,-101.76955803363967,-93.80460174068658,-98.18996757761384,11.772639567163111,19
0.15190987586975097,0.017447215698572348,0.0029811859130859375,0.00032009503421764456,0.01,10,4,2,50,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-107.99398377729023,-78.77128895147119,-126.15845196247679,-110.73795529540793,-107.65677869139974,-106.26369173560917,15.340060831354437,65
